,names,pvals,logfoldchanges,condition,cellline
2037670,THRA,1.03880958135884e-24,0.3276918828487396,resveratrol,MCF7
2037671,TNS2,1.5813846885677794e-24,0.2457242012023925,resveratrol,MCF7
2037672,KCTD7,1.664351967072223e-24,0.2438029050827026,resveratrol,MCF7
2037673,VRK3,6.2004939766424345e-24,0.2496954798698425,resveratrol,MCF7
2037674,POLL,9.870658994172945e-24,0.2831895351409912,resveratrol,MCF7
2037675,PYCR1,1.7832691066761628e-23,0.1667884290218353,resveratrol,MCF7
2037676,MYL6B,2.6959171876693574e-23,0.1868682503700256,resveratrol,MCF7
2037677,VPS9D1,4.2877176416473627e-23,0.2540618181228637,resveratrol,MCF7
2037678,PTPN18,5.26368375651652e-23,0.2153543978929519,resveratrol,MCF7
2037679,PCGF2,7.158976904805409e-23,0.2081177979707718,resveratrol,MCF7
2037680,MYH14,2.6450877482519707e-22,0.1933106034994125,resveratrol,MCF7
2037681,FAM162A,6.385979710904613e-22,0.1403660476207733,resveratrol,MCF7
2039662,SLC16A4,2.9568432974672725e-21,-0.3305263817310333,NU-1025,MCF7
2039663,BHLHE40,1.0566414936913416e-20,-0.2323827296495437,NU-1025,MCF7
2039664,SNAPC4,1.0936426095817598e-19,0.268449455499649,NU-1025,MCF7
2039665,MAEA,2.2362671617474284e-19,0.3475078344345093,NU-1025,MCF7
2039666,C4BPB,3.4167902686540893e-19,0.2631860077381134,NU-1025,MCF7
2039667,BDH2,4.2325798053401013e-19,-0.3947462141513824,NU-1025,MCF7
2039668,C2orf42,4.43850059280096e-19,-0.4862496256828308,NU-1025,MCF7
2039669,GRWD1,5.626185260523612e-19,0.249082550406456,NU-1025,MCF7
2039670,POLR1E,1.3820408669624745e-18,0.3916817605495453,NU-1025,MCF7
2039671,MRPL4,1.4912729156936512e-18,0.2654994130134582,NU-1025,MCF7
2039672,LMNB2,1.7666094919580167e-18,0.3261263966560364,NU-1025,MCF7
2039673,REEP5,2.3731559766398985e-18,-0.4018707275390625,NU-1025,MCF7
2039674,DET1,2.4669334206694424e-18,-0.2575322389602661,NU-1025,MCF7
2039675,PLXNB2,7.835983305698718e-18,0.2815087735652923,NU-1025,MCF7
2039676,TCF20,9.356215199979233e-18,0.2837256193161011,NU-1025,MCF7
2039677,FBL,1.0134891493133293e-17,0.3335845172405243,NU-1025,MCF7
2039678,INSR,1.0608211840429944e-17,0.2734413743019104,NU-1025,MCF7
2039679,SLC6A8,1.3171644970569856e-17,0.2559926509857178,NU-1025,MCF7
2039680,SLC25A10,1.4535415342132137e-17,0.3140192925930023,NU-1025,MCF7
2039681,LRRC41,1.5678445793575184e-17,0.3492430448532104,NU-1025,MCF7
2041662,GDF11,2.812714782050348e-58,0.5453394055366516,BRD-K68202742,MCF7
2041663,NOSIP,8.908381506737647e-58,0.635530948638916,BRD-K68202742,MCF7
2041664,SLC2A6,2.1948309975826e-57,0.366479754447937,BRD-K68202742,MCF7
2041665,APEH,1.920391076872774e-56,0.4800155758857727,BRD-K68202742,MCF7
2041666,KIF17,2.3562841905821226e-56,0.6052154302597046,BRD-K68202742,MCF7
2041667,KCTD17,2.6848375991367287e-56,0.6632278561592102,BRD-K68202742,MCF7
2041668,ADRA2C,3.485065874205908e-56,0.5639094114303589,BRD-K68202742,MCF7
2041669,LIMD2,3.883326497518718e-56,0.5967459678649902,BRD-K68202742,MCF7
2041670,SLC26A6,4.4128076929690085e-56,0.5971241593360901,BRD-K68202742,MCF7
2041671,CDK5,3.0004109023717352e-55,0.4049509465694427,BRD-K68202742,MCF7
2041672,REEP2,1.3318413904239463e-54,0.5630620121955872,BRD-K68202742,MCF7
2041673,ADGRB2,1.7984959602293962e-54,0.7387222051620483,BRD-K68202742,MCF7
2041674,GNAZ,3.2918564013335603e-54,0.6426408290863037,BRD-K68202742,MCF7
2041675,ETHE1,1.0264233589079611e-53,0.5439168214797974,BRD-K68202742,MCF7
2041676,LIN7B,2.0687351049182807e-53,0.5348869562149048,BRD-K68202742,MCF7
2041677,AAMP,3.403933661386097e-53,0.4431451559066772,BRD-K68202742,MCF7
2041678,CELA2B,4.622216774537089e-53,0.4591154754161834,BRD-K68202742,MCF7
2041679,DVL2,5.64875916496476e-53,0.4493337273597717,BRD-K68202742,MCF7
2041680,UNC13A,1.2820156843857653e-52,0.6485979557037354,BRD-K68202742,MCF7
2041681,RIMS3,1.3380865662501791e-52,0.5296583771705627,BRD-K68202742,MCF7
2043662,CHCHD3,5.788840335876004e-26,0.2273690551519394,PJ-34,MCF7
2043663,DLD,1.5321212449568198e-23,0.1606687158346176,PJ-34,MCF7
2043664,NCOA3,3.4179915947095186e-23,0.0990946143865585,PJ-34,MCF7
2043665,NFE2L2,1.439267686323491e-22,0.3436202108860016,PJ-34,MCF7
2043666,ETF1,1.5679300407867306e-21,0.1781124025583267,PJ-34,MCF7
2043667,FBXO34,2.010982170314323e-21,0.2517070472240448,PJ-34,MCF7
2043668,CUL3,4.883610694206023e-21,0.1841356605291366,PJ-34,MCF7
2043669,SEM1,2.221256700464532e-19,0.2059575766324997,PJ-34,MCF7
2043670,PNP,2.9192094339140732e-19,-0.1455167979001999,PJ-34,MCF7
2043671,ZNF12,3.0365046424595155e-19,0.1511775553226471,PJ-34,MCF7
